period,front_1,front_2,front_3,front_4,front_5,back_1,back_2
26029,3,5,17,33,35,5,7
26030,2,13,22,28,34,5,12
26031,6,8,22,29,34,5,7
26032,3,4,19,26,32,1,12
26033,3,5,7,9,18,2,10
26034,11,12,25,26,27,8,11
26035,2,22,30,33,34,8,12
26036,4,7,16,26,32,5,8
26037,7,12,13,28,32,6,8
26038,8,17,21,33,35,6,7
26039,9,11,20,26,27,6,9
26040,6,12,13,21,34,8,9
26041,24,25,27,29,34,2,6
26042,2,7,13,19,24,3,8
26043,8,12,14,19,22,11,12
26044,3,8,22,26,29,7,10
26045,1,15,21,26,33,4,7
26046,1,13,18,27,33,4,7
26047,9,20,21,23,28,6,11
26048,11,17,20,23,35,1,10
26049,1,6,14,15,17,2,3
26050,6,10,14,23,33,8,10
26051,13,18,28,32,33,2,11
26052,2,3,20,28,33,2,12
26053,2,9,14,20,31,5,9
26054,2,6,14,22,24,8,11
26055,9,10,20,33,35,4,11
26056,6,7,18,21,30,1,5
26057,23,25,26,27,34,4,10
26058,7,12,13,18,34,1,5
26059,2,5,9,33,34,2,5
26060,6,17,26,30,33,4,7
26061,2,3,13,18,20,5,10
26062,3,15,18,21,34,2,6
26063,21,25,26,29,33,7,9
26064,4,13,21,24,26,2,8
26065,1,6,7,14,19,2,7
26066,7,12,20,22,23,10,12
26067,3,14,21,25,32,4,8
26068,1,8,15,17,30,10,11
26069,7,20,21,24,35,6,8
26070,2,5,9,21,31,4,10
26071,2,4,9,29,33,6,10
26072,10,14,19,21,34,5,12
26073,13,23,25,32,34,1,8
26074,10,12,14,20,30,7,12
26075,1,4,11,13,19,1,10
26076,1,5,9,27,29,8,12
26077,6,7,14,22,32,1,10
26078,11,13,20,26,32,8,9
26079,9,18,23,26,35,5,6
26080,7,8,22,28,35,2,4
26081,1,2,9,10,18,3,5
26082,10,11,23,34,35,7,8
26083,7,11,22,23,34,1,5
26084,1,7,8,22,35,5,11
26085,1,8,9,11,26,2,10
26086,6,12,13,20,27,5,12
26087,9,12,23,26,34,4,6
26088,4,6,25,29,34,4,9
26089,2,26,27,31,34,1,12
26090,9,13,23,27,35,2,8
26091,8,13,21,28,35,5,8
26092,13,19,21,22,33,5,11
26093,3,17,20,22,35,1,8
26094,7,20,27,29,33,3,7
26095,3,12,13,21,34,1,11
26096,12,14,16,28,29,2,9
26097,1,7,27,34,35,8,12
26098,12,24,26,28,34,1,8
26099,5,7,8,14,35,2,7
26100,9,12,13,15,19,5,11
26101,1,12,25,29,31,3,6
26102,11,14,24,27,30,8,10
26103,7,13,17,18,23,5,9
26104,1,5,17,18,24,5,12
26105,6,8,14,15,21,7,11
26106,5,6,10,28,30,2,4
26107,3,7,23,25,33,9,10
26108,2,6,7,8,34,1,11
26109,13,15,22,26,31,2,9
26110,6,11,13,29,34,5,7
26111,2,12,26,33,35,5,8
26112,3,11,13,15,23,2,5
26113,3,5,22,28,33,7,9
26114,2,11,13,14,33,1,12
26115,7,8,9,27,28,8,12
26116,2,12,13,20,27,6,11
26117,2,7,29,31,32,6,10
26118,1,11,18,23,25,8,12
26119,15,24,29,34,35,1,7
26120,3,6,8,13,30,5,7
26121,6,8,9,17,26,8,12
26122,3,6,12,13,23,7,8
26123,5,9,13,22,33,6,7
26124,6,9,14,29,33,5,8
26125,7,14,28,30,33,4,12
26126,9,19,20,26,31,4,6
26127,2,3,12,20,32,2,7
26128,7,8,12,18,32,7,11
26129,2,6,20,33,34,5,7
26130,11,17,18,28,35,5,6
26131,9,14,20,21,31,1,11
26132,6,14,21,31,34,1,3
26133,10,14,17,26,34,2,5
26134,11,12,14,19,35,4,8
26135,1,13,20,31,33,2,4
26136,1,20,23,27,28,1,5
26137,3,18,20,22,32,8,11
26138,2,7,13,22,28,1,8
26139,15,20,22,33,34,5,8
26140,2,13,17,25,34,1,9
26141,3,13,14,18,21,5,12
26142,3,7,32,33,35,4,11
26143,8,24,27,28,29,7,11
26144,15,20,30,32,33,7,11
26145,6,13,20,26,35,5,8
26146,7,10,15,21,22,2,12
26147,1,8,13,18,20,2,11
26148,1,2,7,17,26,2,10
26149,3,4,26,33,34,8,10
26150,4,7,16,20,34,3,10
26151,3,23,24,27,34,10,12
26152,12,14,21,26,33,2,9
26153,1,6,17,21,32,5,9
26154,3,12,20,21,33,5,6
26155,12,13,19,20,32,5,11
26156,3,9,17,24,27,5,12
26157,2,7,17,21,26,5,8
26158,2,7,14,28,35,1,5
26159,3,7,17,26,33,1,8
26160,4,7,25,26,28,3,5
26161,1,7,20,24,26,5,6
26162,9,10,17,26,30,1,5
26163,7,10,13,14,25,8,12
26164,2,6,18,22,30,4,6
26165,9,12,32,33,35,1,11
26166,13,18,23,26,34,3,10
26167,2,12,18,28,33,5,8
26168,9,20,26,29,30,8,9
26169,1,2,12,28,32,1,7
26170,1,8,26,33,35,8,10
26171,1,8,14,25,27,7,10
26172,3,14,17,18,26,4,11
26173,13,19,26,27,32,4,9
26174,6,9,26,27,33,3,5
26175,20,26,30,32,33,2,8
26176,9,10,12,15,19,10,12
26177,7,8,15,23,29,2,8
26178,6,12,17,18,33,1,4
26179,9,13,19,30,33,6,11
26180,2,10,13,22,33,2,5
26181,6,9,24,28,33,2,9
26182,2,9,18,22,26,5,8
26183,8,17,26,34,35,4,8
26184,4,6,8,18,35,6,8
26185,3,22,29,33,35,5,7
26186,3,6,23,31,34,1,4
26187,5,9,12,17,33,4,12
26188,4,7,23,33,35,3,11
26189,2,3,5,15,27,10,11
26190,2,19,25,32,34,7,8
26191,3,14,18,24,29,2,7
26192,8,14,20,22,33,5,9
26193,9,10,13,18,26,11,12
26194,7,12,13,21,33,5,12
26195,4,10,11,23,34,2,5
26196,2,10,14,23,35,2,8
26197,5,24,27,29,35,2,6
26198,5,8,12,14,25,5,10
26199,3,6,15,21,30,3,11
26200,14,22,24,28,34,3,11
26201,7,8,19,22,32,6,7
26202,2,5,13,23,35,10,11
26203,9,12,13,22,23,4,8
26204,6,19,20,29,32,3,11
26205,7,13,19,20,33,8,12
26206,4,12,24,27,30,5,12
26207,1,18,19,22,23,8,11
26208,3,26,30,33,35,5,7
26209,4,9,13,26,35,1,11
26210,3,11,22,30,33,5,9
26211,3,8,20,27,28,7,10
26212,3,8,12,20,34,1,11
26213,3,12,25,28,34,7,11
26214,3,7,11,33,34,8,12
26215,2,17,25,26,28,6,8
26216,4,7,11,14,33,6,8
26217,13,17,19,20,34,4,8
26218,7,20,25,26,29,6,11
26219,3,13,20,26,34,4,6
26220,3,7,14,22,24,1,6
26221,12,14,20,24,34,7,8
26222,6,13,26,28,33,5,12
26223,2,7,9,21,34,5,12
26224,6,15,18,23,34,5,11
26225,2,19,21,22,33,2,5
26226,6,13,14,19,35,4,5
26227,7,11,13,20,33,5,12
26228,1,9,26,29,33,4,5
